,index,tconst,primaryTitle,startYear,genres,directorNames,averageRating,numRatings,weightedRating,worldwideBoxOffice
0,8827,tt32558992,Heart Eyes,2025,"Comedy,Horror,Mystery",Josh Ruben,6.1,17082,0.0369063907111,32947032
1,5891,tt29603959,Novocaine,2025,"Action,Comedy,Thriller","Dan Berk,Robert Olsen",6.5,31545,0.072623455783969,34208050
2,12386,tt34604827,Fire,2025,Crime,Jsk Satish Kumar,5.5,10403,0.020265359415065,
3,5507,tt30988739,Black Bag,2025,"Drama,Mystery,Romance",Steven Soderbergh,6.8,33409,0.080464702845259,39284035
4,9894,tt34956443,Ne Zha 2,2025,"Action,Adventure,Animation",Yu Yang,8.2,10405,0.0302196172546863,1898636144
5,10081,tt23476986,G20,2025,"Action,Thriller",Patricia Riggen,5.1,16106,0.0290931598676795,
6,5621,tt27922706,Chhaava,2025,"Action,Drama,History",Laxman Utekar,7.4,29885,0.0783281740281599,8219603
7,9207,tt31434639,Warfare,2025,"Action,Drama,War","Alex Garland,None",7.9,12249,0.0342736808622257,28789466
8,8186,tt32730754,Chasing the Wind,2025,"Drama,Romance",Engin Erden,6.2,19132,0.042013134484632,3533057
9,7664,tt9150192,A Working Man,2025,"Action,Thriller",David Ayer,5.8,22829,0.0468973069394634,98474215
10,7277,tt14209618,Game Changer,2025,"Action,Drama,Thriller",S. Shankar,5.3,27270,0.0511910491137829,2849061
11,8765,tt30798612,Crazxy,2025,Thriller,Girish Kohli,7.0,15045,0.0373012387475216,
12,10014,tt32080876,Dragon,2025,"Comedy,Drama,Romance",Ashwath Marimuthu,7.9,10553,0.0295281373286854,
13,7865,tt10078772,Flight Risk,2025,"Action,Crime,Drama",Mel Gibson,5.2,24382,0.0449061366029414,44379932
14,7495,tt21227864,You're Cordially Invited,2025,Comedy,Nicholas Stoller,5.5,24965,0.0486325769294528,
15,14745,tt30422937,Nadaaniyan,2025,"Drama,Romance",Shauna Gautam,2.9,14594,0.0149901287282519,
16,11187,tt31190632,October 8,2025,Documentary,Wendy Sachs,4.3,15858,0.0241518215776503,1356192
17,12347,tt21279420,Emergency,2025,"Biography,Drama,History",Kangana Ranaut,5.2,11052,0.0203552875783655,
18,8443,tt33305312,Borbaad,2025,"Action,Romance,Thriller",Mehedi Hassan Hridoy,7.5,15011,0.0398752951744087,
19,10442,tt32221196,One of Them Days,2025,Comedy,Lawrence Lamont,6.6,11702,0.0273550209603103,51880469
20,7533,tt2172954,The Life List,2025,"Comedy,Drama,Romance",Adam Brooks,6.9,19704,0.0481544594515505,
21,2970,tt6208148,Snow White,2025,"Adventure,Family,Fantasy",Marc Webb,1.6,344937,0.1954757045412922,202471217
22,7155,tt4216984,Wolf Man,2025,Horror,,5.6,26474,0.0525098302214363,34151721
23,9839,tt31116092,14 Days: Girlfriend Intlo,2025,Comedy,Sriharsha Manne,7.4,11647,0.0305266268330593,
24,10859,tt30253036,Kinda Pregnant,2025,"Comedy,Drama",Tyler Spindel,4.9,14673,0.0254652544566081,
25,12468,tt9603060,Star Trek: Section 31,2025,"Action,Adventure,Drama",Olatunde Osunsanmi,3.8,14893,0.0200446652892179,
26,6734,tt27852049,Deva,2025,"Action,Crime,Drama",Rosshan Andrrews,6.8,24020,0.0578515418702482,
27,2354,tt12299608,Mickey 17,2025,"Adventure,Comedy,Fantasy",Bong Joon Ho,6.9,105087,0.2568213398490201,131847147
28,7202,tt32063050,Bridget Jones: Mad About the Boy,2025,"Comedy,Drama,Romance",Michael Morris,6.7,21931,0.052043471762918,134865435
29,9430,tt0899043,The Amateur,2025,"Action,Thriller",James Hawes,6.7,13895,0.0329736008456406,88588091
30,8828,tt14403504,Last Breath,2025,"Drama,Thriller",Alex Parkinson,6.6,15781,0.0368902397688137,23846268
31,2758,tt26584495,Companion,2025,"Sci-Fi,Thriller",Drew Hancock,7.0,86594,0.2146934840879287,36709101
32,9158,tt32284154,Rekhachithram,2025,"Drama,Mystery,Thriller",Jofin T. Chacko,8.0,12221,0.0346281869616644,1747519
33,12343,tt3045628,Holland,2025,Thriller,Mimi Cave,5.0,11502,0.0203693133966668,
34,2888,tt14513804,Captain America: Brave New World,2025,"Action,Adventure,Sci-Fi",Julius Onah,5.8,98530,0.2024088507050389,414990124
35,20940,tt35295730,A Business Proposal,2025,"Comedy,Drama,Romance",Rako Prijanto,1.0,22468,0.0079578809493359,
36,4399,tt21191806,Back in Action,2025,"Action,Comedy",Seth Gordon,5.9,54198,0.1132578452458362,
37,8157,tt27679608,Fateh,2025,"Action,Crime,Thriller",Sonu Sood,6.3,18942,0.0422668034509803,
38,12248,tt35217961,Baida,2025,"Adventure,Sci-Fi,Thriller",Puneet Sharma,5.7,10242,0.0206772438621,
39,5386,tt27714946,The Monkey,2025,Horror,Osgood Perkins,6.0,39308,0.083534373604192,68752066
40,10431,tt27056066,Sky Force,2025,"Action,Thriller","Abhishek Anil Kapur,Sandeep Kewlani",6.9,11217,0.0274131431013013,
