,Unnamed: 0,index,tconst,primaryTitle,startYear,genres,directorNames,averageRating,numRatings,weightedRating,releaseDate,poster
0,8827,8827,tt32558992,Heart Eyes,2025,"Comedy,Horror,Mystery",Josh Ruben,6.1,17082,0.0369063907111,2025-02-06,/ebqttF1Vjgde6uSFBEw9mta7Hd3.jpg
1,5891,5891,tt29603959,Novocaine,2025,"Action,Comedy,Thriller","Dan Berk,Robert Olsen",6.5,31545,0.072623455783969,2025-03-12,/xmMHGz9dVRaMY6rRAlEX4W0Wdhm.jpg
2,12386,12386,tt34604827,Fire,2025,Crime,Jsk Satish Kumar,5.5,10403,0.020265359415065,2025-02-14,/4Nf52vNlQNJpSt2uFodMCdz99Dy.jpg
3,5507,5507,tt30988739,Black Bag,2025,"Drama,Mystery,Romance",Steven Soderbergh,6.8,33409,0.080464702845259,2025-03-12,/hHPovtU4b96LHcoeEwRkGHI5btw.jpg
4,9894,9894,tt34956443,Ne Zha 2,2025,"Action,Adventure,Animation",Yu Yang,8.2,10405,0.0302196172546863,2025-01-29,/5lUmWTGkEcYnXujixXn31o9q2T0.jpg
5,10081,10081,tt23476986,G20,2025,"Action,Thriller",Patricia Riggen,5.1,16106,0.0290931598676795,2025-04-10,/wv6oWAleCJZUk5htrGg413t3GCy.jpg
6,5621,5621,tt27922706,Chhaava,2025,"Action,Drama,History",Laxman Utekar,7.4,29885,0.0783281740281599,2025-02-14,/ubRsrzb6NRW8YhVTJ6jG1kpNvCi.jpg
7,9207,9207,tt31434639,Warfare,2025,"Action,Drama,War","Alex Garland,None",7.9,12249,0.0342736808622257,2025-04-09,/j8tqBXwH2PxBPzbtO19BTF9Ukbf.jpg
8,8186,8186,tt32730754,Chasing the Wind,2025,"Drama,Romance",Engin Erden,6.2,19132,0.042013134484632,2025-01-09,/pg6sFi0pv8cPelkJGLZqmUxh24F.jpg
9,7664,7664,tt9150192,A Working Man,2025,"Action,Thriller",David Ayer,5.8,22829,0.0468973069394634,2025-03-26,/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg
10,7277,7277,tt14209618,Game Changer,2025,"Action,Drama,Thriller",S. Shankar,5.3,27270,0.0511910491137829,2025-01-09,/qtOGsZoLW7QceqKmsOy5nSM6Aik.jpg
11,8765,8765,tt30798612,Crazxy,2025,Thriller,Girish Kohli,7.0,15045,0.0373012387475216,2025-02-28,/t5dni7rxQCarDgQWaOpma7oOcGq.jpg
12,10014,10014,tt32080876,Dragon,2025,"Comedy,Drama,Romance",Ashwath Marimuthu,7.9,10553,0.0295281373286854,2025-02-21,/vKNJPuejtE6Xrp6RK6LKsQcbL8L.jpg
13,7865,7865,tt10078772,Flight Risk,2025,"Action,Crime,Drama",Mel Gibson,5.2,24382,0.0449061366029414,2025-01-22,/q0bCG4NX32iIEsRFZqRtuvzNCyZ.jpg
14,7495,7495,tt21227864,You're Cordially Invited,2025,Comedy,Nicholas Stoller,5.5,24965,0.0486325769294528,2025-01-29,/muXnwAdVdEEktto0NBNMyqK3uQH.jpg
15,14745,14745,tt30422937,Nadaaniyan,2025,"Drama,Romance",Shauna Gautam,2.9,14594,0.0149901287282519,2025-03-01,/vQsGkLx68lmAdGwNapaaq3qqwKn.jpg
16,11187,11187,tt31190632,October 8,2025,Documentary,Wendy Sachs,4.3,15858,0.0241518215776503,2024-11-01,/2Whyyl2PAeR8zA4pqBVBJrBY5CZ.jpg
