index,tconst,primaryTitle,startYear,genres,isAdult,directorNames,averageRating,numRatings,weightedRating
0,tt7366338,Chernobyl,2019,"Drama,History,Thriller",0,Johan Renck,9.3,945117,10.0
1,tt0185906,Band of Brothers,2001,"Action,Drama,History",0,"David Frankel,Mikael Salomon,None,David Leland,Richard Loncraine,David Nutter,Phil Alden Robinson,Tony To",9.4,560197,5.991010887074446
2,tt10048342,The Queen's Gambit,2020,Drama,0,Scott Frank,8.5,614190,5.939544539066626
3,tt9140560,WandaVision,2021,"Action,Comedy,Drama",0,Matt Shakman,7.9,394474,3.5454956074676582
4,tt6763664,The Haunting of Hill House,2018,"Drama,Horror,Mystery",0,Mike Flanagan,8.5,308856,2.986802077790198
5,tt0795176,Planet Earth,2006,"Documentary,Family",0,"Alastair Fothergill,Mark Linfield",9.4,227107,2.4287893536217013
6,tt10234724,Moon Knight,2022,"Action,Adventure,Fantasy",0,"Mohamed Diab,Justin Benson,Aaron Moorhead",7.3,290798,2.4151591358416447
7,tt9208876,The Falcon and the Winter Soldier,2021,"Action,Adventure,Drama",0,Kari Skogland,7.1,266099,2.1494783128688364
8,tt8466564,Obi-Wan Kenobi,2022,"Action,Adventure,Sci-Fi",0,Deborah Chow,7.0,246728,1.9649339426952213
9,tt10155688,Mare of Easttown,2021,"Crime,Drama,Mystery",0,Craig Zobel,8.4,204286,1.9523126459134073
10,tt10160804,Hawkeye,2021,"Action,Adventure,Crime",0,"Bertie Ellwood,Amber Templemore,Rhys Thomas",7.5,228676,1.9512518453509784
11,tt15435876,The Penguin,2024,"Crime,Drama",0,"Craig Zobel,Kevin Bray,Helen Shaver,Jennifer Getzinger",8.6,191744,1.8760815424331432
12,tt5491994,Planet Earth II,2016,Documentary,0,"Justin Anderson,Ed Charles,Fredi Devas,Chadden Hunter,Emma Napper,Elizabeth White",9.4,166179,1.7771965901337288
13,tt2401256,The Night Of,2016,"Crime,Drama,Mystery",0,"Steven Zaillian,James Marsh",8.4,182319,1.7423792589325091
14,tt12392504,Scam 1992: The Harshad Mehta Story,2020,"Biography,Crime,Drama",0,"Hansal Mehta,Jai Mehta",9.2,164512,1.7219355250560602
